Date,DEDATA.Total,DEDATA.DeathConfirmed
2020-3-6,10,0
2020-3-7,10,0
2020-3-8,10,0
2020-3-9,18,0
2020-3-10,20,0
2020-3-11,20,0
2020-3-12,41,0
2020-3-13,44,0
2020-3-14,74,0
2020-3-15,74,0
2020-3-16,76,0
2020-3-17,52,0
2020-3-18,61,0
2020-3-19,66,0
2020-3-20,74,0
2020-3-21,81,0
2020-3-22,92,0
2020-3-23,104,0
2020-3-24,127,1
2020-3-25,151,2
2020-3-26,166,3
2020-3-27,199,5
2020-3-28,250,9
2020-3-29,268,10
2020-3-30,2480,11
2020-3-31,4015,12
2020-4-1,4383,13
2020-4-2,4959,15
2020-4-3,5445,16
2020-4-4,6467,16
2020-4-5,6994,16
2020-4-6,6994,20
2020-4-7,8556,23
2020-4-8,8556,27
2020-4-9,9890,28
2020-4-10,11741,30
2020-4-11,11103,37
2020-4-12,11103,42
2020-4-13,11820,47
2020-4-14,12304,53
2020-4-15,13102,59
2020-4-16,13350,61
2020-4-17,14017,67
2020-4-18,14017,77
2020-4-19,14794,80
2020-4-20,15253,89
2020-4-21,15866,92
2020-4-22,16553,103
2020-4-23,16912,114
2020-4-24,17379,128
2020-4-25,17698,136
2020-4-26,19249,147
2020-4-27,19616,159
2020-4-28,21180,170
2020-4-29,21538,179
2020-4-30,21820,185
2020-5-1,22585,197
2020-5-2,23112,209
2020-5-3,23737,220
2020-5-4,24110,226
2020-5-5,24680,235
2020-5-6,26468,237
2020-5-7,27326,253
2020-5-8,28264,264
2020-5-9,29296,268
2020-5-10,31039,277
2020-5-11,31928,288
2020-5-12,33291,296
2020-5-13,34753,308
2020-5-14,36857,318
2020-5-15,38278,327
2020-5-16,39758,336
2020-5-17,40865,345
2020-5-18,42458,351
2020-5-19,44132,357
2020-5-20,45412,362
2020-5-21,47542,364
2020-5-22,48986,367
2020-5-23,50534,371
2020-5-24,51870,377
2020-5-25,53896,382
2020-5-26,54914,389
2020-5-27,55421,397
2020-5-28,56801,402
2020-5-29,57533,406
2020-5-30,59329,409
2020-5-31,60671,411
2020-6-1,62447,414
2020-6-2,64062,414
