Date,MDDATA.Total,MDDATA.DeathConfirmed
2020-3-5,31,0
2020-3-6,41,0
2020-3-7,44,0
2020-3-8,55,0
2020-3-9,78,0
2020-3-10,95,0
2020-3-11,103,0
2020-3-12,106,0
2020-3-13,111,0
2020-3-14,120,0
2020-3-15,125,0
2020-3-16,131,0
2020-3-17,151,0
2020-3-18,179,2
2020-3-19,201,2
2020-3-20,243,3
2020-3-21,284,3
2020-3-22,338,4
2020-3-23,382,4
2020-3-24,443,5
2020-3-25,517,5
2020-3-26,674,7
2020-3-27,868,10
2020-3-28,12508,17
2020-3-29,13593,23
2020-3-30,14729,34
2020-3-31,16528,42
2020-4-1,19218,50
2020-4-2,21221,60
2020-4-3,23690,79
2020-4-4,25610,94
2020-4-5,28337,115
2020-4-6,29617,131
2020-4-7,31627,152
2020-4-8,38462,181
2020-4-9,41529,210
2020-4-10,44448,244
2020-4-11,47238,286
2020-4-12,49764,317
2020-4-13,51751,360
2020-4-14,53733,396
2020-4-15,55763,441
2020-4-16,58843,471
2020-4-17,62009,512
2020-4-18,65370,550
2020-4-19,67891,592
2020-4-20,71397,644
2020-4-21,73635,692
2020-4-22,76529,738
2020-4-23,80100,789
2020-4-24,84716,853
2020-4-25,89123,900
2020-4-26,96665,950
2020-4-27,104976,990
2020-4-28,107785,1042
2020-4-29,110929,1110
2020-4-30,114359,1167
2020-5-1,120983,1214
2020-5-2,125522,1258
2020-5-3,132794,1302
2020-5-4,136995,1353
2020-5-5,140103,1402
2020-5-6,144012,1444
2020-5-7,148600,1500
2020-5-8,152187,1561
2020-5-9,156028,1609
2020-5-10,159931,1652
2020-5-11,164780,1698
2020-5-12,169503,1742
2020-5-13,173574,1787
2020-5-14,178454,1840
2020-5-15,182826,1896
2020-5-16,190175,1943
2020-5-17,194926,1989
2020-5-18,201506,2020
2020-5-19,208658,2061
2020-5-20,215330,2093
2020-5-21,220233,2116
2020-5-22,227902,2169
2020-5-23,232327,2197
2020-5-24,240362,2229
2020-5-25,249577,2267
2020-5-26,254487,2302
2020-5-27,262055,2343
2020-5-28,274858,2386
2020-5-29,284518,2421
2020-5-30,293946,2444
2020-5-31,301881,2476
2020-6-1,308730,2505
2020-6-2,315815,2525
2020-6-3,327625,2544
2020-6-4,337018,2546
2020-6-5,347726,2580
2020-6-6,357376,2616
2020-6-7,364803,2625
2020-6-8,371503,2653
2020-6-9,378082,2686
2020-6-10,384642,2719
2020-6-11,392370,2750
2020-6-12,400095,2773
2020-6-13,408758,2799
2020-6-14,415309,2811
2020-6-15,421108,2817
2020-6-16,429225,2851
2020-6-17,441343,2866
2020-6-18,447608,2886
2020-6-19,453669,2901
2020-6-20,462280,2923
2020-6-21,469031,2937
2020-6-22,474725,2945
2020-6-23,483535,2963
2020-6-24,490457,2978
2020-6-25,498959,3001
2020-6-26,506397,3015
2020-6-27,513816,3030
2020-6-28,519473,3042
2020-6-29,529313,3048
2020-6-30,535855,3062
2020-7-1,542604,3077
2020-7-2,553175,3086
2020-7-3,563834,3099
2020-7-4,573342,3111
2020-7-5,579962,3118
2020-7-6,587361,3121
2020-7-7,594378,3140
2020-7-8,603108,3149
2020-7-9,612581,3160
2020-7-10,621063,3172
2020-7-11,629277,3179
2020-7-12,643391,3188
2020-7-13,651957,3194
2020-7-14,666069,3202
2020-7-15,680088,3209
2020-7-16,692529,3215
2020-7-17,708216,3227
2020-7-18,720986,3238
2020-7-19,739785,3247
2020-7-20,749279,3252
2020-7-21,764367,3272
2020-7-22,782833,3276
2020-7-23,789041,3281
2020-7-24,804350,3293
2020-7-25,825326,3304
2020-7-26,838572,3309
2020-7-27,855518,3315
2020-7-28,868256,3327
2020-7-29,878959,3347
2020-7-30,893965,3357
2020-7-31,911191,3362
2020-8-1,929354,3374
2020-8-2,944786,3381
2020-8-3,960637,3389
2020-8-4,972346,3396
2020-8-5,982395,3402
2020-8-6,992141,3415
2020-8-7,1006824,3429
2020-8-8,1019523,3440
2020-8-9,1039345,3448
2020-8-10,1056810,3454
2020-8-11,1067459,3467
2020-8-12,1078838,3474
2020-8-13,1095094,3483
2020-8-14,1110273,3495
2020-8-15,1127652,3499
2020-8-16,1142410,3502
2020-8-17,1157612,3504
2020-8-18,1167305,3511
2020-8-19,1175768,3522
2020-8-20,1187676,3531
2020-8-21,1204267,3536
2020-8-22,1220441,3546
2020-8-23,1232896,3552
2020-8-24,1247593,3554
2020-8-25,1255565,3564
