Date,WVDATA.Total,WVDATA.DeathConfirmed
2020-3-6,4,0
2020-3-7,3,0
2020-3-8,3,0
2020-3-9,3,0
2020-3-10,3,0
2020-3-11,2,0
2020-3-12,1,0
2020-3-13,4,0
2020-3-14,5,0
2020-3-15,1,0
2020-3-16,4,0
2020-3-17,4,0
2020-3-18,15,0
2020-3-19,5,0
2020-3-20,20,0
2020-3-21,13,0
2020-3-22,13,0
2020-3-23,20,0
2020-3-24,20,0
2020-3-25,45,0
2020-3-26,70,0
2020-3-27,119,0
2020-3-28,102,0
2020-3-29,113,0
2020-3-30,126,0
2020-3-31,162,0
2020-4-1,191,0
2020-4-2,217,0
2020-4-3,237,0
2020-4-4,282,0
2020-4-5,324,0
2020-4-6,345,0
2020-4-7,412,0
2020-4-8,462,0
2020-4-9,523,0
2020-4-10,554,0
2020-4-11,577,0
2020-4-12,611,0
2020-4-13,626,0
2020-4-14,640,0
2020-4-15,702,0
2020-4-16,739,0
2020-4-17,754,0
2020-4-18,785,0
2020-4-19,863,0
2020-4-20,902,0
2020-4-21,914,0
2020-4-22,939,0
2020-4-23,967,0
2020-4-24,988,0
2020-4-25,1020,0
2020-4-26,1044,0
2020-4-27,1063,0
2020-4-28,1079,0
2020-4-29,1095,0
2020-4-30,1118,0
2020-5-1,1136,0
2020-5-2,1169,0
2020-5-3,1191,0
2020-5-4,1206,0
2020-5-5,1238,0
2020-5-6,1248,0
2020-5-7,1287,0
2020-5-8,1310,0
2020-5-9,1335,0
2020-5-10,1360,0
2020-5-11,1366,0
2020-5-12,1371,0
2020-5-13,1398,0
2020-5-14,1427,0
2020-5-15,1441,0
2020-5-16,1457,0
2020-5-17,1490,0
2020-5-18,1491,0
2020-5-19,1509,0
2020-5-20,1545,0
2020-5-21,1593,0
2020-5-22,1616,0
2020-5-23,1717,0
2020-5-24,1759,0
2020-5-25,1774,0
2020-5-26,1854,0
2020-5-27,1867,0
2020-5-28,1906,0
2020-5-29,1951,0
2020-5-30,1974,0
2020-5-31,2010,0
2020-6-1,2017,0
2020-6-2,2041,0
2020-6-3,2071,0
2020-6-4,2092,0
2020-6-5,2119,0
2020-6-6,2131,0
2020-6-7,2144,0
2020-6-8,2153,0
2020-6-9,2169,0
2020-6-10,2188,0
2020-6-11,2212,0
2020-6-12,2233,0
2020-6-13,2259,0
2020-6-14,2289,0
2020-6-15,2298,0
2020-6-16,2341,0
2020-6-17,2376,0
2020-6-18,2418,0
2020-6-19,2435,0
2020-6-20,2486,0
2020-6-21,2543,0
2020-6-22,2552,0
2020-6-23,2582,0
2020-6-24,2629,0
2020-6-25,2661,0
2020-6-26,2712,0
2020-6-27,2761,0
2020-6-28,2817,0
